Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
207298084,Morning Star,Tim Daniel,"Daniel, Tim","David Brian Andry, Marco Finnegan","=""1960578766""","=""9781960578761""",0,2.66,Mad Cave Studios,Paperback,128,2024,,,2024/10/07,to-read,to-read (#76),to-read,,,,0,0
61240297,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""059359973X""","=""9780593599730""",0,4.02,Del Rey,Hardcover,576,2022,1992,,2024/09/29,to-read,to-read (#75),to-read,,,,0,0
205912159,The Titans of the Twentieth Century: How They Made History and the History They Made,Michael Mandelbaum,"Mandelbaum, Michael",,"=""0197782477""","=""9780197782477""",0,3.73,Oxford University Press,Hardcover,352,2024,,,2024/09/17,to-read,to-read (#74),to-read,,,,0,0
39507318,The Library Book,Susan Orlean,"Orlean, Susan",,"=""1476740186""","=""9781476740188""",5,3.89,Simon & Schuster,Hardcover,317,2018,2018,2024/09/14,2024/07/03,,,read,Awesome read. Orlean tells a lot of history about American libraries and significant figures that have shaped them. She has also made me better understand the civic importance of libraries and all that they contribute to the communities they're in.,,,1,0
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"Caro, Robert A.",,"=""0394720245""","=""9780394720241""",0,4.51,Vintage Books,Paperback,1246,1975,1974,,2024/09/14,to-read,to-read (#73),to-read,,,,0,0
42293204,History of Architecture,Alfred D.F. Hamlin,"Hamlin, Alfred D.F.",,"=""3748128304""","=""9783748128304""",4,3.80,Books on Demand,Kindle Edition,382,2018,1952,2022/12/31,2022/12/04,,,read,"This book is a great introduction to architecture and very palatable for the average reader. Although the book had images and diagrams of some mentioned buildings, I kept my phone handy to look up other un-pictured buildings and terms I was unfamiliar with. I would say this book is only as good as you are interested in architecture/history.",,,1,0
77721780,20th Century Men,Deniz Camp,"Camp, Deniz","S. Morian, Igor Kordey","=""1534324542""","=""9781534324541""",0,3.88,Image Comics,Paperback,296,2023,2023,,2024/09/09,to-read,to-read (#72),to-read,,,,0,0
92009079,The Book at War: Libraries and Readers in an Age of Conflict,Andrew Pettegree,"Pettegree, Andrew",,"=""180081495X""","=""9781800814950""",0,3.78,Profile Books,Kindle Edition,480,2023,2023,,2024/08/31,to-read,to-read (#71),to-read,,,,0,0
1168191,Meditations,Marcus Aurelius,"Aurelius, Marcus",Gregory Hays,"=""0812968255""","=""9780812968255""",0,4.28,Modern Library,Paperback,256,2003,180,,2024/08/01,to-read,to-read (#70),to-read,,,,0,0
10614,Misery,Stephen        King,"King, Stephen",,"=""0450417395""","=""9780450417399""",5,4.23,New English Library,Paperback,370,1992,1987,2024/07/20,2024/07/05,,,read,"Wow, this has gotta be peak Stephen King. My jaw literally dropped multiple times while reading this.<br/><br/>The main thought I have post reading this is, how much does King relates to the protagonist, Paul Sheldon? They’re both authors and Paul has some interesting thoughts about his writing that I could see King having.",,,1,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",0,4.28,Penguin Books,Paperback,254,2006,180,,2022/05/14,to-read,to-read (#69),to-read,,,,1,0
2647250,American Character: The Curious Life of Charles Fletcher Lummis,Mark       Thompson,"Thompson, Mark",,"=""1559705507""","=""9781559705509""",0,4.07,Arcade Publishing,Hardcover,372,2001,2001,,2024/07/07,to-read,to-read (#68),to-read,,,,0,0
2266175,A Tramp Across the Continent,Charles F. Lummis,"Lummis, Charles F.",Robert E. Fleming,"=""0803279086""","=""9780803279087""",0,3.82,Bison Books,Paperback,270,1982,1893,,2024/07/07,to-read,to-read (#67),to-read,,,,0,0
60177373,Fairy Tale,Stephen        King,"King, Stephen",,"=""1668002175""","=""9781668002179""",4,4.09,Scribner,Hardcover,607,2022,2022,2023/01/12,2023/01/06,,,read,"Starts out as a familiar slice-of-life SK book that turns into a fantasy adventure. There were a couple build ups that got to feel long, but definitely paid off in their climaxes for me.",,,1,0
30753330,Different Seasons: Four Novellas,Stephen        King,"King, Stephen",,"=""1501156764""","=""9781501156762""",5,4.36,Pocket Books,Mass Market Paperback,671,2017,1982,2019/01/10,2019/02/10,,,read,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""000853277X""","=""9780008532772""",0,3.74,William Morrow,Paperback,319,2023,2023,,2024/07/04,to-read,to-read (#66),to-read,,,,0,0
50833559,Home Before Dark,Riley Sager,"Sager, Riley",,"=""1524745170""","=""9781524745172""",2,4.06,Dutton Books,Hardcover,389,2020,2020,2024/07/02,2024/06/27,,,read,"This book has good bones but the author’s prose is bloated and often felt like I was reading a teen’s diary. Maybe the first person POV made it seem worse, but I felt that the narration was made up of incessant inner dialogue from the protagonist that repetitively over explained their feelings about everything. This narration also frequently trails off into exposition that is largely inconsequential.<br/><br/>This writing gets in the way of itself and keeps any good moments in the book from being great.",,,1,0
6751,Consider the Lobster and Other Essays,David Foster Wallace,"Wallace, David Foster",,"=""0316156116""","=""9780316156110""",0,4.18,"Little, Brown and Company",Hardcover,343,2005,2005,,2024/06/23,to-read,to-read (#65),to-read,,,,0,0
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0385534264""","=""9780385534260""",0,4.18,Doubleday,Hardcover,331,2023,2023,,2024/06/10,to-read,to-read (#64),to-read,,,,0,0
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",5,4.14,Broadway,Paperback,246,1998,1990,2024/06/10,2023/09/28,,,read,Tim expressed a lot of things I've felt myself. Things that I don't think I could have put into words or knew that others felt.,,,1,0
39046442,In Memoriam A. H. H,Alfred Tennyson,"Tennyson, Alfred",,"=""1376584735""","=""9781376584738""",0,4.06,Sagwan Press,Paperback,138,2018,1850,,2024/06/03,to-read,to-read (#63),to-read,,,,0,0
1898,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,"Krakauer, Jon",,"=""""","=""""",0,4.25,Anchor Books,Paperback,368,1999,1997,,2024/06/01,to-read,to-read (#62),to-read,,,,0,0
199798061,"The Language of the Night: Essays on Writing, Science Fiction, and Fantasy",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""1668034905""","=""9781668034903""",0,4.27,Scribner,Paperback,304,2024,1979,,2024/05/25,to-read,to-read (#61),to-read,,,,0,0
200100950,Wanted: Toddler's Personal Assistant,Stephanie Kiser,"Kiser, Stephanie",,"=""1728298164""","=""9781728298160""",0,3.67,Sourcebooks,Paperback,336,2024,2024,,2024/05/13,to-read,to-read (#60),to-read,,,,0,0
13521459,Red Country,Joe Abercrombie,"Abercrombie, Joe",,"=""0316214442""","=""9780316214445""",3,4.31,Orbit,Kindle Edition,469,2012,2012,2024/05/09,2023/09/13,,,read,"Probably the worst of Abercrombie’s books. I liked it for the old characters he brought back and some really cool moments, but much of it dragged and for some reason half the dialogue is made up of sarcastic one-liners. There’s also too many “I’m 14 and this is deep” type of quotes. Abercrombie likes to criticize society through his characters, but it’s usually too on the nose in this book.",,,1,0
1495340,Sergeant Lamb's America,Robert  Graves,"Graves, Robert",,"=""089733213X""","=""9780897332132""",0,3.78,Academy Chicago Publishers,Paperback,336,2005,1940,,2024/05/03,to-read,to-read (#59),to-read,,,,0,0
173404158,"The Freaks Came Out to Write: The Definitive History of the Village Voice, the Radical Paper That Changed American Culture",Tricia Romano,"Romano, Tricia",,"=""1541736397""","=""9781541736399""",0,4.26,PublicAffairs,Hardcover,608,2024,,,2024/05/03,to-read,to-read (#58),to-read,,,,0,0
39937171,Carmilla,J. Sheridan Le Fanu,"Fanu, J. Sheridan Le",,"=""""","=""""",0,3.87,Open Road Media Mystery & Thriller,Kindle Edition,108,2014,1872,,2024/04/24,to-read,to-read (#57),to-read,,,,0,0
31622174,The Anglo-Saxon Fenland,Susan Oosthuizen,"Oosthuizen, Susan",,"=""1911188089""","=""9781911188087""",0,4.00,Windgather Press,Paperback,160,2017,,,2024/04/16,to-read,to-read (#56),to-read,,,,0,0
19288748,Conversations with Beethoven (NYRB Classics),Sanford Friedman,"Friedman, Sanford",Richard Howard,"=""1590177622""","=""9781590177624""",0,3.82,NYRB Classics,Paperback,304,2014,2014,,2024/04/12,to-read,to-read (#55),to-read,,,,0,0
146151,The Art of the Commonplace: The Agrarian Essays,Wendell Berry,"Berry, Wendell",Norman Wirzba,"=""1593760078""","=""9781593760076""",0,4.36,Counterpoint,Paperback,352,2003,2002,,2024/04/12,to-read,to-read (#54),to-read,,,,0,0
102327,Armor,John Steakley,"Steakley, John",,"=""0886773687""","=""9780886773687""",0,4.10,DAW,Mass Market Paperback,426,1984,1984,,2024/03/17,to-read,to-read (#53),to-read,,,,0,0
86098292,"Late Fascism: Race, Capitalism and the Politics of Crisis",Alberto Toscano,"Toscano, Alberto",,"=""1839760206""","=""9781839760204""",0,3.94,Verso,Paperback,224,2023,2023,,2024/02/22,to-read,to-read (#52),to-read,,,,0,0
60747435,Edward Hopper's New York,Kim Conaty,"Conaty, Kim","Kirsty Bell, Darby English, David Hartt, David M. Crane, Jennie Goldstein, Melinda Lang, Farris Wahbeh","=""030026674X""","=""9780300266740""",0,4.27,Whitney Museum of American Art,Hardcover,256,2022,,,2024/02/22,to-read,to-read (#51),to-read,,,,0,0
33460,Among the Thugs,Bill Buford,"Buford, Bill",,"=""0679745351""","=""9780679745358""",0,4.12,Vintage Books,Paperback,320,1993,1990,,2024/02/22,to-read,to-read (#50),to-read,,,,0,0
385508,The Concept of Law (Clarendon Law Series),H.L.A. Hart,"Hart, H.L.A.","Penelope Bulloch, Joseph Raz","=""0198761236""","=""9780198761235""",0,4.01,Oxford University Press,Paperback,315,1997,1961,,2024/02/04,to-read,to-read (#49),to-read,,,,0,0
8866589,Letters to a Young Poet,Rainer Maria Rilke,"Rilke, Rainer Maria",,"=""""","=""""",4,4.28,,Kindle Edition,126,,1929,2024/01/19,2024/01/08,,,read,"In his collection of letters, Rilke writes about the human experience. From doubt to love to fear, he provides comforting epithets on these universal emotions. I wasn’t looking for comfort from his letters, but I found it.",,,1,0
217329,Gotham: A History of New York City to 1898,Edwin G. Burrows,"Burrows, Edwin G.",Mike  Wallace,"=""0195140494""","=""9780195140491""",0,4.30,"Oxford University Press, USA",Paperback,1383,2000,1998,,2024/01/07,to-read,to-read (#48),to-read,,,,0,0
60321460,Great Short Books: A Year of Reading―Briefly,Kenneth C. Davis,"Davis, Kenneth C.",,"=""198218003X""","=""9781982180034""",0,3.84,Scribner,Hardcover,448,2022,2022,,2024/01/07,to-read,to-read (#47),to-read,,,,0,0
2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"Chandler, Raymond",,"=""0394758285""","=""9780394758282""",0,3.95,Vintage Crime,Paperback,231,1988,1939,,2023/12/16,to-read,to-read (#46),to-read,,,,0,0
55361205,A Promised Land,Barack Obama,"Obama, Barack",,"=""1524763187""","=""9781524763183""",0,4.32,Crown,Kindle Edition,768,2020,2020,,2023/12/06,to-read,to-read (#45),to-read,,,,0,0
410810,Notes of a Native Son,James Baldwin,"Baldwin, James",,"=""0807064319""","=""9780807064313""",0,4.37,Beacon Press,Paperback,192,1984,1955,,2023/12/02,to-read,to-read (#44),to-read,,,,0,0
4708,The Beautiful and Damned,F. Scott Fitzgerald,"Fitzgerald, F. Scott","Monty, Kermit Vanderbilt","=""0743451503""","=""9780743451505""",0,3.73,Simon & Schuster,Mass Market Paperback,422,2002,1922,,2023/12/02,to-read,to-read (#43),to-read,,,,0,0
160010,The Return of the Soldier,Rebecca West,"West, Rebecca",Michelle Dean,"=""0812971221""","=""9780812971224""",4,3.69,Modern Library,Paperback,112,2004,1918,2023/10/15,2023/10/30,,,read,,,,1,0
406235,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",3,4.34,Laurel,Paperback,178,1988,1956,2023/11/06,2023/11/09,,,read,"Good book, but I didn’t connect with the characters well. Some parts were great, others dragged for me.",,,1,0
24972,The Sickness Unto Death: A Christian Psychological Exposition for Upbuilding and Awakening,Søren Kierkegaard,"Kierkegaard, Søren","Edna Hatlestad Hong, Howard Vincent Hong","=""0691020280""","=""9780691020280""",0,4.09,Princeton University Press,Paperback,226,1983,1849,,2023/10/30,to-read,to-read (#42),to-read,,,,0,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.38,"Farrar, Straus and Giroux",Paperback,796,2002,1880,,2023/10/30,to-read,to-read (#41),to-read,,,,0,0
1358,Encomium of Helen,Gorgias of Leontini,"Leontini, Gorgias of",Douglas M. MacDowell,"=""0862920531""","=""9780862920531""",0,3.78,Bristol Classical Press,Paperback,48,1991,-380,,2023/10/30,to-read,to-read (#40),to-read,,,,0,0
50485582,The Precipice,Toby  Ord,"Ord, Toby",,"=""1526600218""","=""9781526600219""",0,3.97,Bloomsbury Publishing,Hardcover,480,2020,2020,,2023/10/30,to-read,to-read (#39),to-read,,,,0,0
17143,Go Tell It on the Mountain,James Baldwin,"Baldwin, James",,"=""0141185910""","=""9780141185910""",0,4.05,Penguin,Paperback,256,2001,1953,,2023/10/30,to-read,to-read (#38),to-read,,,,0,0
114230,Bartleby the Scrivener,Herman Melville,"Melville, Herman",,"=""0974607800""","=""9780974607801""",4,3.93,Melville House,Paperback,64,2004,1853,2023/10/04,2023/09/19,,,read,,,,1,0
57640287,Passing,Nella Larsen,"Larsen, Nella",Brit Bennett,"=""0593437845""","=""9780593437841""",5,3.92,Signet,Mass Market Paperback,141,2021,1929,2023/10/18,2023/10/18,,,read,,,,1,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",0,4.48,Harper,Hardcover,560,2022,2022,,2023/10/11,to-read,to-read (#37),to-read,,,,0,0
53487237,"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life",George Saunders,"Saunders, George",,"=""1984856049""","=""9781984856043""",0,4.54,Random House,Kindle Edition,403,2021,2021,,2023/09/14,to-read,to-read (#36),to-read,,,,0,0
6947958,"Michelangelo: The Artist, the Man and his Times",William E. Wallace,"Wallace, William E.",,"=""0521111994""","=""9780521111997""",5,4.09,Cambridge University Press,Hardcover,428,2009,1998,2023/08/22,2023/01/06,,,read,"An excellent biography that provides a grounded look at Michelangelo as a person and the milieu of Renaissance Italy that was extremely influential to the course of the artist's life. I loved the letters Wallace included that show not only some of the day-to-day happenings in Renaissance Italy, but also Michelangelo's personal struggles, such as his grapple with death in the final decade of his long life.",,,1,0
43811266,American Demagogue: The Great Awakening and the Rise and Fall of Populism,Jeff D. Dickey,"Dickey, Jeff D.",,"=""1643132199""","=""9781643132198""",0,3.69,Pegasus Books,Hardcover,400,2019,,,2023/08/20,to-read,to-read (#35),to-read,,,,0,0
62888191,Monstrilio,Gerardo Sámano Córdova,"Córdova, Gerardo Sámano",,"=""1638930368""","=""9781638930365""",0,4.11,Zando,Hardcover,336,2023,2023,,2023/07/15,to-read,to-read (#34),to-read,,,,0,0
56300643,These Prisoning Hills,Christopher  Rowe,"Rowe, Christopher",,"=""1250804493""","=""9781250804495""",0,3.54,Tordotcom,Kindle Edition,112,2022,2022,,2023/07/14,to-read,to-read (#33),to-read,,,,0,0
30899929,The Death and Life of Great American Cities,Jane Jacobs,"Jacobs, Jane",,"=""052543285X""","=""9780525432852""",5,4.29,Knopf Doubleday Publishing Group,Kindle Edition,573,2016,1961,2023/07/09,2023/01/13,,,read,"I think anyone who lives in a large or growing city (Nashville/Knoxville!) should read this book. In her criticisms of mid 20th century city planning, Jacobs provides some rigor as to how a city street, park, or people can thrive. This information allows city residents to understand their environment while also creating a foundation of knowledge that ensures they’ll be able to discern when their representatives might be making city planning decisions not within their interest. Poor city planning can exasperate crime, inequality, and poverty so it’s important to stay informed!",,,1,0
17905322,The Martian Chronicles,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",3,4.16,‎ William Morrow Paperbacks,ebook,298,2013,1950,2023/06/30,2022/02/08,,,read,"This book is set on mars but has very human stories, often dealing with loneliness and loss. The chapters almost read like an anthology and were tied together by the setting and passing of time. Overall I enjoyed the book, but the anthology-like structure had some chapters feeling experimental and often disrupted the momentum of the story.<br/><br/>On another note, I enjoy the artifacts an author leaves behind once their work is aged by a few decades (or more). Whether it’s Martian wives serving in their gendered role as household caretakers (on mars!), or the overall theme of war always being an inescapable, close thing. It’s obvious to see the influence of 1950s America on Bradbury. I’ve started looking up authors before I read their books so that I understand where they’re coming from, and it’s always gratifying to see how the world may have been influencing them from that time.",,,1,0
168646,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0440180295""","=""9780440180296""",5,4.10,Dell,Paperback,215,1991,1969,2019/09/19,2019/09/17,,,read,,,,1,0
61111302,"Essex Dogs (Essex Dogs, #1)",Dan Jones,"Jones, Dan",,"=""0593653785""","=""9780593653784""",0,3.90,Viking,Hardcover,464,2023,2022,,2023/05/31,to-read,to-read (#32),to-read,,,,0,0
641593,Meggs' History of Graphic Design,Philip B. Meggs,"Meggs, Philip B.",Alston W. Purvis,"=""0471699020""","=""9780471699026""",0,4.14,John Wiley & Sons Inc,Hardcover,575,2005,1983,,2023/05/27,to-read,to-read (#31),to-read,,,,0,0
13651,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",4,4.25,Harper Voyager,Paperback,387,1994,1974,2023/05/16,2022/12/07,,,read,"I started this book without looking much into what it’s about and got something I didn’t expect from a sci-fi novel. This book tends to be very introspective. It brings a lot of direct commentary on social structures (capitalism/socialism) within a sci-fi setting. Overall it was interesting and I became invested in the characters. I recommend it if you’re looking for something different to read, but it can feel slow at times if you’re expecting a traditional sci-fi story.",,,1,0
4099,The Pragmatic Programmer: From Journeyman to Master,Dave         Thomas,"Thomas, Dave","Andy   Hunt, Ward Cunningham","=""020161622X""","=""9780201616224""",0,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,,2023/05/10,to-read,to-read (#30),to-read,,,,0,0
40681093,When Will It Be Done?: Lean-Agile Forecasting to Answer Your Customers' Most Important Question,Daniel S. Vacanti,"Vacanti, Daniel S.",,"=""""","=""""",0,4.42,Leanpub,ebook,,2018,,,2023/05/01,to-read,to-read (#29),to-read,,,,0,0
60828989,Marx’s Literary Style,Ludovico Silva,"Silva, Ludovico",Alberto Toscano,"=""1839765534""","=""9781839765537""",0,3.91,Verso,Paperback,128,2023,1973,,2023/03/14,to-read,to-read (#28),to-read,,,,0,0
56048747,"The Plot (The Book Series, #1)",Jean Hanff Korelitz,"Korelitz, Jean Hanff",,"=""""","=""""",4,3.82,Celadon,Kindle Edition,317,2021,2021,2023/02/09,2023/01/20,,,read,,,,1,0
27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""""","=""""",0,3.85,Harper,Hardcover,264,2016,2016,,2023/02/08,to-read,to-read (#27),to-read,,,,0,0
48890486,Breath: The New Science of a Lost Art,James Nestor,"Nestor, James",,"=""0735213615""","=""9780735213616""",0,4.15,Riverhead Books,Hardcover,280,2020,2020,,2023/02/08,to-read,to-read (#26),to-read,,,,0,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.12,Harper,Mass Market Paperback,417,2003,1967,,2023/01/29,to-read,to-read (#25),to-read,,,,0,0
41808660,Draw People Every Day: Short Lessons in Portrait and Figure Drawing Using Ink and Color,Kagan McLeod,"McLeod, Kagan",,"=""0399581987""","=""9780399581984""",0,3.91,Watson-Guptill,Kindle Edition,196,2019,,,2023/01/21,to-read,to-read (#24),to-read,,,,0,0
13531846,Letters,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Dan Wakefield,"=""0385343752""","=""9780385343756""",0,4.08,Random House,Hardcover,464,2012,2012,,2023/01/21,to-read,to-read (#23),to-read,,,,0,0
25111004,November 9,Colleen Hoover,"Hoover, Colleen",,"=""1501110349""","=""9781501110344""",1,4.11,Atria Books,Paperback,310,2015,2015,2023/01/16,2023/01/16,,,read,"I thought about giving this book 2 stars because I thought the ending was interesting, but I still don’t think  it’s quite there for me. <br/><br/>Colleen’s prose is generally weak because she pretty much names every feeling each character feels through narration instead of conveying these feelings through dialogue or descriptive action. This left me feeling bored and like I was reading a child’s diary. There’s also some moments where the male love interest of the book acts pretty aggressive, but the author doesn’t recognize or address this which was pretty off-putting to me.<br/><br/>Could be a fun popcorn read for some people, but not for me.",,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,2019/03/15,2019/03/15,,,read,,,,1,0
